Time,il_crest_X,il_crest_Z,grt_troc_X,grt_troc_Z,lat_con_X,lat_con_Z,lat_mall_X,lat_mall_Z,heel_X,heel_Z,5th_mtar_X,5th_mtar_Z,trunk_angle,thigh_angle,shank_angle,foot_angle,hip_angle,knee_angle,ankle_angle,hip_velocity,knee_velocity,ankle_velocity,heel_velo,heel_accel
0.005,0.05457,1.128913,0.066088,0.989789,0.200113,0.579563,-0.045793999999999994,0.195813,-0.097543,0.14977000000000001,0.010819,0.0745,94.73269322133449,108.09274077798825,57.34825127060929,41.66067305941111,-13.360047556653768,50.744489507378965,15.68757821119818,-33.234155592711545,-242.82971471569113,215.67792002594075,-1.2012000000000023,-17.43999999999972
0.01,0.06266100000000001,1.1300139999999999,0.074908,0.991279,0.212374,0.5821219999999999,-0.022539000000000003,0.190532,-0.073982,0.143764,0.038318,0.07151,95.04477725999661,108.57099559461393,59.04065466081342,42.27468684948554,-13.526218334617326,49.53034093380051,16.765967811327883,-21.934857673230116,-250.78194014614968,91.01232574179436,-1.2884000000000009,-16.239999999999856
0.015,0.070722,1.130887,0.083854,0.992563,0.224358,0.58457,0.0009310000000000001,0.18535200000000002,-0.048963,0.136886,0.065904,0.06880599999999999,95.42320820400488,109.00260433739095,60.76593423147348,44.16823276285736,-13.57939613338607,48.23667010591747,16.597701468616123,-10.119990931430323,-261.924936710966,-34.36701983198844,-1.3636000000000008,-13.629999999999987
0.02,0.07876300000000001,1.1316199999999998,0.092739,0.993732,0.23618799999999998,0.586727,0.024603000000000003,0.180208,-0.023621,0.130128,0.093659,0.06635100000000001,95.78759868198328,109.41501692591491,62.50392535922406,46.081627746216064,-13.62741824393163,46.91109156669085,16.422297613008,-11.762034527126273,-282.3746282902234,-56.738418495319095,-1.4247000000000007,5.140000000000121
0.025,0.086972,1.1323420000000002,0.101673,0.994693,0.247773,0.588732,0.049267000000000005,0.174785,0.002888,0.122639,0.12141400000000001,0.06428,96.09611726585925,109.79313374451658,64.38020992150135,48.349892637838416,-13.697016478657332,45.412923823015234,16.03031728366293,-159.30062264482675,-290.59756783392817,17.532551115601084,-1.3121999999999996,26.590000000000227
0.03,0.098738,1.132953,0.11058799999999999,0.995502,0.25922100000000003,0.590392,0.07325,0.169878,0.028165,0.117006,0.149291,0.062384999999999996,94.92743097605126,110.14785544643115,66.14273955807958,49.545116433915574,-15.220424470379896,44.00511588835157,16.59762312416401,-176.8302790972086,-287.5962544937962,75.9601970480915,-1.1587999999999985,10.750000000000101
0.035,0.10748300000000001,1.133376,0.11951,0.996081,0.27038,0.591951,0.09737000000000001,0.165138,0.053797,0.11105100000000001,0.17717500000000003,0.06086,95.00631319842914,110.47163246805856,67.93467118998129,51.14475193583744,-15.465319269629418,42.53696127807727,16.789919254143847,-52.20781803787275,-292.9343645889403,-39.37054985965175,-1.2046999999999985,1.8899999999997248
0.04,0.11640900000000001,1.133534,0.128451,0.996536,0.28137900000000005,0.593226,0.12135599999999999,0.160858,0.079972,0.10495900000000001,0.20501,0.059633000000000005,95.02333643799491,110.76583908875354,69.69006684629137,53.48614922072388,-15.742502650758624,41.075772242462165,16.20391762556749,-45.644521819116356,-299.7916970657586,-23.595571852685293,-1.1399000000000012,12.729999999999826
0.045,0.125217,1.1335160000000002,0.137437,0.996708,0.292165,0.594174,0.145482,0.156116,0.105847,0.099652,0.232826,0.058718000000000006,95.10424270577737,111.02600719359795,71.48696288617826,54.93299935056127,-15.921764487820582,39.53904430741969,16.553963535616994,-33.106557738068425,-311.8262271599874,20.28964861187603,-1.0774000000000004,6.440000000000134
0.05,0.133946,1.133315,0.146344,0.996745,0.30273,0.594822,0.169876,0.151906,0.132243,0.094185,0.26056799999999997,0.058097,95.18716606887665,111.26073429701596,73.30322432615367,56.896410214467416,-16.073568228139308,37.95750997086229,16.406814111686252,-35.61766154732879,-321.236185804787,-29.613889543291087,-1.0755,5.669999999999908
0.055,0.142901,1.132936,0.155286,0.996597,0.313136,0.595223,0.194427,0.14777,0.15889,0.088897,0.288171,0.057850000000000006,95.19048822531275,111.46842932860662,75.1417468792348,58.88392223905072,-16.27794110329387,36.326682449371816,16.257824640184083,-30.177393413350742,-329.80484663256834,-33.38519510472652,-1.0207000000000013,13.719999999999995
0.06,0.15167,1.132451,0.164238,0.996209,0.323281,0.595449,0.218947,0.144019,0.185547,0.083978,0.315633,0.057922,95.2704830266967,111.64582518896951,76.9863636844329,60.913401523793915,-16.375342162272815,34.65946150453661,16.072962160638987,-20.265185434226392,-337.54790753143163,-24.11867562585925,-0.9383,15.030000000000307
0.065,0.160425,1.131682,0.17309100000000002,0.995708,0.33320900000000003,0.5954320000000001,0.24355000000000002,0.14049,0.212259,0.079514,0.342953,0.058377000000000005,95.32175434083504,111.80234729847118,78.85114392441368,62.834506040488186,-16.480592957636134,32.9512033740575,16.01663788392549,-19.857162463780735,-331.09083614948787,-31.595166136973035,-0.8703999999999982,8.7099999999999
0.07,0.169094,1.130916,0.18197300000000002,0.994962,0.34353500000000003,0.594789,0.268099,0.13729,0.23902199999999998,0.07527400000000001,0.370085,0.059202,95.41151301959717,111.98542680650779,80.63687366346606,64.8798631641968,-16.573913786910623,31.348553143041727,15.757010499269256,-38.18457169369511,-326.58977310620276,-100.25173029701554,-0.851200000000001,9.459999999999773
0.075,0.177788,1.129922,0.190446,0.993679,0.3532,0.594273,0.29254800000000003,0.134499,0.26620900000000003,0.071002,0.397081,0.060322,95.30797162935545,112.17041030392853,82.48510466093306,67.47098407997773,-16.862438674573085,29.685305642995473,15.014120580955336,-29.770506088368634,-346.8512750639606,-70.35770333068004,-0.7758000000000005,20.350000000000332
0.08,0.186408,1.1286420000000001,0.199239,0.992589,0.362555,0.5935739999999999,0.317079,0.131506,0.292932,0.067516,0.42379000000000006,0.061838000000000004,95.38756334402963,112.25918219182394,84.37914179942182,69.32570833345936,-16.87161884779431,27.880040392402123,15.053433465962456,1.2795081839612965,-361.7424409106146,-13.197953325079924,-0.6476999999999977,22.13999999999993
0.085,0.195025,1.1272270000000002,0.208069,0.991251,0.371768,0.59269,0.341486,0.129275,0.319669,0.06452500000000001,0.450368,0.063695,95.47954215278622,112.3291857455197,86.26130451163037,71.37916346392583,-16.84964359273347,26.067881233889324,14.882141047704536,3.3463072083705487,-364.20099795848574,-31.752841037740623,-0.554400000000001,18.009999999999625
0.09,0.20366399999999998,1.1256199999999998,0.21685300000000002,0.9897190000000001,0.38082900000000003,0.591514,0.365782,0.127357,0.34629899999999997,0.061972,0.476777,0.065791,95.54311544869,112.3812712244006,88.14324081158334,73.40733575599829,-16.838155775710604,24.238030412817267,14.73590505558505,6.062796041968002,-366.37175860253865,-48.33614790021985,-0.46760000000000157,17.250000000000185
0.095,0.212332,1.123859,0.225713,0.987973,0.389781,0.5901689999999999,0.389852,0.126053,0.372866,0.059849,0.502895,0.06834,95.62391306634284,112.41292869865663,90.00876505079269,75.60998548209035,-16.78901563231379,22.40416364786394,14.398779568702338,1.884117589686694,-369.199647798504,-49.584975172079695,-0.38189999999999924,17.580000000000087
0.1,0.22107900000000003,1.121831,0.23444399999999999,0.986032,0.39858800000000005,0.588579,0.41392,0.124958,0.399298,0.058153,0.528798,0.071173,95.62080710150947,112.4401217013232,91.89408776649098,77.65403246262673,-16.819314599813737,20.546033934832224,14.240055303864253,10.498425014756668,-376.80837097280477,-35.32690431246836,-0.29180000000000056,18.869999999999894
0.105,0.229618,1.11982,0.243271,0.9839450000000001,0.40713600000000005,0.5868110000000001,0.437743,0.12427800000000001,0.425553,0.056930999999999995,0.554412,0.074472,95.73793840906464,112.42196979123086,93.78588985309497,79.74037932751732,-16.684031382166225,18.636079938135893,14.045510525577654,17.02416069511515,-380.0807633154905,-33.85133994678144,-0.1932000000000004,19.610000000000078
0.11,0.23828000000000002,1.1176220000000001,0.251998,0.981658,0.415678,0.5847450000000001,0.461385,0.12398600000000001,0.45157600000000003,0.056221,0.579723,0.078224,95.76132401006241,112.410397002925,95.66517070124767,81.76362879685124,-16.649072992862585,16.74522630167732,13.901541904396439,13.885716275322567,-379.03757306325156,-41.73883220122004,-0.09569999999999987,18.85000000000004
0.115,0.24691900000000003,1.115359,0.260816,0.97921,0.424101,0.582526,0.484675,0.12412600000000001,0.477391,0.055973999999999996,0.604724,0.082375,95.82811000173808,112.37328422115108,97.52758001364771,83.89945781008225,-16.545174219413,14.845704207503374,13.628122203565454,19.9733929570698,-384.3313797778963,-47.071964664041865,-0.004699999999999846,19.260000000000048
0.12,0.255658,1.112925,0.26964,0.976632,0.43229300000000004,0.580175,0.507731,0.124727,0.502906,0.056174,0.6292960000000001,0.087093,95.85735761653793,112.30669667982981,99.40478417593145,85.97396191817543,-16.449339063291887,12.901912503898359,13.43082225775602,21.461834332569662,-387.3038115311276,-35.91583983893971,0.0969000000000005,18.239999999999984
0.125,0.264295,1.1104020000000001,0.278415,0.9740019999999999,0.440498,0.577635,0.530548,0.125667,0.528147,0.056943,0.653463,0.092129,95.9101538648329,112.24070974092021,101.26804364872811,87.99907984355205,-16.330555876087303,10.9726660921921,13.268963805176057,2.381815506520011,-357.79014692035355,-56.15226320725379,0.1776999999999999,15.029999999999935
0.13,0.27312200000000003,1.107815,0.287157,0.971187,0.449582,0.5749690000000001,0.552764,0.126847,0.552881,0.057951,0.677153,0.09753,95.86509002733172,112.2906109355584,102.96659990086359,90.0973002751801,-16.425520908226687,9.32401103469482,12.869299625683482,-2.1534556038176316,-346.63038069653965,-77.98190664508688,0.24719999999999998,14.449999999999994
0.135,0.281892,1.105104,0.295948,0.9683440000000001,0.457792,0.572158,0.574318,0.12842599999999998,0.576999,0.059415,0.700411,0.103123,95.86817462896896,112.22026506109444,104.71390277586774,92.22475803714255,-16.35209043212548,7.5063622852267,12.489144738725187,22.634600104689163,-388.5698617525616,-10.071396244882171,0.3222,10.090000000000106
0.14,0.290781,1.102333,0.304765,0.9654280000000001,0.464825,0.569889,0.5958990000000001,0.130015,0.600501,0.061173000000000005,0.723164,0.10885800000000001,95.83218296134385,112.03135786852364,106.59304545135444,93.82445978811978,-16.199174907179795,5.4383124171692,12.76858566323466,57.616793894318725,-373.93513943480696,24.03905002094864,0.34810000000000113,5.670000000000091
0.145,0.299142,1.099589,0.314029,0.962918,0.474159,0.566431,0.61737,0.131502,0.623971,0.06289600000000001,0.745336,0.114598,96.21648092615106,111.99240341933336,108.22539252845472,95.49585728952005,-15.775922493182293,3.7670108908786375,12.729535238934673,54.35228144687595,-338.2930693975985,-7.504521757316255,0.3789000000000008,6.389999999999847
