Time,il_crest_X,il_crest_Z,grt_troc_X,grt_troc_Z,lat_con_X,lat_con_Z,lat_mall_X,lat_mall_Z,heel_X,heel_Z,5th_mtar_X,5th_mtar_Z
0.005,-725.426,1003.748,-702.937,899.181,-577.449,485.006,-400.123,107.903,-416.815,64.356,-275.117,109.23
0.01,-718.288,1002.481,-694.745,898.248,-567.551,485.435,-395.538,105.98,-413.382,62.09,-269.423,104.652
0.015,-711.127,1001.077,-686.912,898.199,-557.357,485.692,-390.624,104.019,-410.518,59.677,-265.179,100.923
0.02,-703.728,1000.011,-679.149,898.211,-547.4,485.845,-387.255,101.692,-408.212,57.022,-261.757,97.383
0.025,-696.204,998.926,-670.673,897.971,-537.446,485.794,-384.197,98.971,-406.537,54.126,-258.84,93.722
0.03,-688.29,998.178,-662.025,897.496,-527.634,485.607,-381.753,96.042,-405.192,51.309,-256.504,89.599
0.035,-680.273,997.479,-652.979,896.818,-518.111,485.366,-379.742,93.322,-404.273,48.84,-254.864,86.029
0.04,-671.702,997.047,-644.134,896.734,-508.984,485.089,-378.435,90.718,-403.386,45.868,-252.866,82.135
0.045,-662.86,996.313,-634.353,895.77,-500.089,484.402,-375.969,88.257,-402.318,43.69,-250.917,78.195
0.05,-653.705,995.88,-625.255,895.646,-491.34,483.653,-373.781,86.331,-400.847,42.459,-248.157,73.839
0.055,-644.149,995.033,-615.027,894.621,-482.985,483.049,-370.915,84.893,-398.888,41.956,-245.865,70.987
0.06,-634.302,994.605,-605.304,894.182,-474.895,482.402,-367.356,83.871,-396.48,41.68,-243.668,69.904
0.065,-624.574,994.322,-595.518,893.847,-467.033,481.705,-363.463,83.363,-393.82,41.774,-240.897,67.166
0.07,-614.607,994.038,-586.074,893.99,-459.481,481.47,-359.835,83.222,-391.327,42.116,-238.769,64.428
0.075,-604.772,993.871,-576.202,893.924,-451.62,481.463,-356.401,82.835,-389.064,42.643,-237.112,61.399
0.08,-595.338,993.766,-566.962,894.591,-443.536,481.907,-353.916,82.633,-387.373,43.205,-236.027,58.142
0.085,-586.102,993.694,-558.152,895.74,-435.064,482.592,-352.175,82.385,-386.215,43.772,-234.857,55.204
0.09,-577.137,993.625,-549.238,896.49,-426.584,483.585,-350.285,82.102,-385.216,44.302,-233.523,53.101
0.095,-569.215,994.065,-541.431,898.312,-418.161,484.503,-348.537,82.281,-384.419,44.856,-232.118,51.561
0.1,-560.739,994.579,-532.825,899.636,-409.49,485.502,-346.813,82.411,-383.827,45.534,-230.57,50.307
0.105,-552.913,994.985,-524.914,901.197,-401.746,486.293,-345.276,82.489,-383.012,45.857,-229.216,49.435
0.11,-545.293,995.37,-517.061,902.357,-394.503,486.832,-343.926,82.58,-382.398,46.207,-228.351,48.576
0.115,-537.791,996.191,-509.392,903.883,-387.953,487.153,-343.018,82.784,-381.923,46.55,-227.936,47.577
0.12,-530.331,997.022,-501.773,905.05,-382.059,487.313,-342.377,82.928,-381.5,46.894,-227.908,46.739
0.125,-522.865,997.859,-494.171,906.09,-376.631,487.665,-341.809,83.202,-381.112,47.083,-228.145,45.841
0.13,-515.256,998.729,-486.601,907.279,-371.516,487.993,-341.35,83.179,-380.803,47.188,-228.234,45.084
0.135,-507.635,999.681,-479.108,908.596,-366.822,488.211,-341.924,83.302,-380.724,47.35,-228.058,44.694
0.14,-499.801,1000.229,-471.469,909.797,-362.134,488.332,-341.568,83.292,-380.631,47.383,-227.726,44.583
0.145,-490.888,1001.266,-463.719,910.848,-357.882,488.512,-341.151,83.307,-380.622,47.415,-227.541,44.517
0.15,-484.146,1002.257,-455.798,912.187,-353.863,488.389,-340.949,83.281,-380.621,47.344,-227.446,44.414
0.155,-476.265,1003.518,-448.042,913.133,-350.173,488.31,-340.831,83.221,-380.634,47.3,-227.485,44.28
0.16,-468.375,1004.623,-440.719,914.831,-346.712,488.248,-340.79,83.201,-380.677,47.28,-227.547,44.157
0.165,-460.6,1005.937,-433.837,916.321,-343.751,488.268,-340.788,83.214,-380.728,47.29,-227.531,44.096
0.17,-452.82,1007.229,-426.719,917.168,-341.027,488.609,-340.217,83.056,-380.71,47.254,-227.489,44.032
0.175,-445.401,1008.441,-419.773,918.205,-338.417,488.788,-340.316,82.937,-380.743,47.385,-227.483,44.068
0.18,-438.156,1009.772,-412.977,919.19,-336.049,489.041,-340.263,83.209,-380.809,47.489,-227.487,44.064
0.185,-430.924,1010.957,-406.151,920.378,-333.767,489.397,-340.381,83.355,-380.852,47.66,-227.525,44.047
0.19,-424.058,1012.224,-399.621,921.866,-331.433,489.535,-340.491,83.39,-380.91,47.845,-227.54,44.001
0.195,-417.27,1013.494,-393.558,922.683,-329.414,489.709,-340.434,83.507,-380.971,48.07,-227.549,44.006
0.2,-410.902,1014.642,-387.198,924.118,-327.342,490.036,-340.817,83.814,-381.14,48.477,-227.538,44.014
0.205,-404.533,1016.117,-381.351,924.905,-325.393,490.399,-340.741,83.915,-381.186,48.745,-227.538,44.026
0.21,-398.16,1017.251,-375.629,925.075,-323.507,490.615,-340.721,84.043,-381.191,49.073,-227.535,44.003
0.215,-391.868,1018.557,-370.189,926.124,-321.708,490.958,-340.285,84.36,-381.101,49.286,-227.527,43.977
0.22,-385.79,1019.781,-364.521,927.104,-319.581,491.06,-339.746,84.483,-381.094,49.622,-227.519,43.972
0.225,-379.71,1021.206,-358.863,928.257,-317.944,491.622,-339.706,84.666,-381.034,50.008,-227.49,43.956
0.23,-372.628,1022.378,-353.437,928.651,-316.29,491.987,-340.212,85.109,-381.026,50.446,-227.447,43.951
0.235,-367.258,1023.408,-347.559,929.395,-314.596,492.511,-340.031,85.494,-381.12,51.107,-227.403,43.929
0.24,-361.511,1025.059,-342.114,930.241,-312.906,492.68,-339.898,85.748,-381.099,51.528,-227.382,43.902
0.245,-356.053,1026.301,-336.562,930.768,-311.485,493.141,-339.877,86.112,-381.08,51.953,-227.356,43.884
0.25,-349.661,1027.891,-330.874,931.537,-310.025,493.628,-339.783,86.7,-381.037,52.428,-227.362,43.85
0.255,-344.048,1029.061,-325.373,932.057,-308.684,494.009,-340.008,86.869,-380.968,52.832,-227.334,43.813
0.26,-334.739,1030.637,-319.923,932.647,-307.378,494.404,-339.477,86.858,-380.877,53.305,-227.32,43.801
0.265,-332.418,1031.347,-314.044,933.262,-306.112,494.859,-339.262,87.194,-380.685,53.644,-227.311,43.785
